steps,avg_loss,mean_td_error
3623,6.5454,15.0137
3624,4.4752,16.3392
3625,2.1394,14.6396
3626,4.0846,11.8539
3627,3.8398,10.2478
3628,4.3827,14.9154
3629,3.1411,7.8197
3630,6.5992,16.9464
3631,3.3872,11.2193
3632,5.9017,12.0791
3633,4.8410,10.4148
3634,3.1307,7.3977
3635,3.5764,12.9496
3636,3.8840,18.7830
3637,6.0831,14.4917
3638,6.6267,18.2413
3639,5.7870,12.8453
3640,3.1116,10.7518
3641,5.1302,11.0168
3642,7.2259,14.1951
3643,9.1197,20.5564
3644,5.6292,14.9799
3645,5.4267,14.5618
3646,3.8735,12.4630
3647,5.0020,11.4926
3648,6.6619,13.9965
3649,4.9989,12.5244
3650,4.5799,12.3347
3651,2.8728,6.5506
3652,5.3790,15.2019
3653,3.6959,9.6668
3654,5.5479,11.1488
3655,6.6165,12.3117
3656,4.2262,14.5792
3657,5.3729,17.8346
3658,3.1451,9.8233
3659,5.4659,18.3765
3660,3.3958,18.1503
3661,5.2519,15.3737
3662,3.8908,13.4064
3663,4.4883,14.3838
3664,5.2214,10.2764
3665,2.5879,10.8974
3666,5.6853,14.7334
3667,4.8221,14.4439
3668,6.3606,13.2387
3669,4.5824,13.4947
3670,5.7205,14.3460
3671,7.5311,14.1858
3672,2.7863,10.4765
3673,3.5120,10.9243
3674,3.9505,13.2697
3675,6.9794,19.1507
3676,2.7403,9.5717
3677,3.5183,12.5992
3678,4.1689,13.1819
3679,5.5563,11.0721
3680,4.8044,11.7636
3681,5.5825,11.8747
3682,5.9833,13.7240
3683,4.4633,13.5515
3684,5.1753,16.5994
3685,5.3930,12.3034
3686,5.3823,13.0732
3687,5.3834,14.9980
3688,4.6699,13.1477
3689,5.4298,14.5913
3690,2.9525,16.1437
3691,4.1072,9.6864
3692,3.2202,14.2226
3693,5.8792,9.8006
3694,8.1076,15.9723
3695,4.3780,13.7504
3696,5.9921,13.5650
3697,1.9126,6.5078
3698,6.0896,14.3459
3699,4.1597,12.1998
3700,4.8046,16.3951
3701,5.4952,11.5523
3702,3.3430,9.8231
3703,6.3762,16.0544
3704,3.3066,12.2340
3705,3.2491,12.9191
3706,3.3557,8.4149
3707,3.1299,7.8619
3708,5.1126,14.4360
3709,5.9544,15.3139
3710,7.7742,18.4209
3711,4.2527,14.9618
3712,5.3473,13.4106
3713,3.3009,8.1069
3714,4.8037,12.6652
3715,3.9754,15.0064
3716,6.0405,13.2615
3717,4.5944,10.8370
3718,3.5448,14.2950
3719,2.7242,13.9196
3720,5.1050,14.1871
3721,4.2736,11.9898
3722,5.6803,12.2932
3723,4.6233,12.3058
3724,3.0045,8.6113
3725,4.3410,12.0340
3726,4.3408,16.2287
3727,8.5922,20.3633
3728,5.8693,14.8042
3729,3.9358,10.5555
3730,6.3450,18.4712
3731,8.5224,19.6988
3732,3.8817,14.5909
3733,6.4675,11.9753
3734,6.3933,14.0327
3735,2.4590,8.2844
3736,3.7262,11.1999
3737,5.0821,16.2359
3738,6.3843,11.8515
3739,3.4843,8.0575
3740,5.5006,12.6503
3741,6.1964,15.5137
3742,4.9831,15.6550
3743,2.0513,11.7640
3744,4.2412,11.3509
3745,5.2123,13.7166
3746,5.0354,15.0780
3747,5.6986,19.8729
3748,3.3920,10.8044
3749,6.2804,14.2275
3750,3.8773,13.8453
3751,4.5889,12.7600
3752,4.6266,13.0377
3753,6.3249,14.8404
3754,7.9294,16.5897
3755,7.6751,16.0355
3756,7.0045,16.3997
3757,7.4318,14.3300
3758,6.9691,14.2837
3759,5.1415,11.4312
3760,8.1257,14.2829
3761,2.9238,9.7003
3762,3.5647,13.2083
3763,5.7462,14.9396
3764,4.1699,17.2210
3765,5.0874,13.3643
3766,6.4681,19.2422
3767,4.2031,12.6026
3768,5.3124,13.6163
3769,10.5197,25.0047
3770,6.4458,15.1369
3771,6.3443,21.8781
3772,4.3089,9.8341
3773,4.9504,11.6822
3774,8.5719,14.2691
3775,5.0064,12.0217
3776,2.4214,7.3495
3777,5.4418,11.1811
3778,8.3269,16.7628
3779,4.8715,14.1169
3780,7.4168,15.2307
3781,5.7897,14.6464
3782,3.8731,12.0711
3783,7.3290,15.3744
3784,10.0663,17.6439
3785,6.8040,13.9826
3786,5.3742,12.6213
3787,4.8636,11.7255
3788,4.7011,15.3567
3789,8.0734,16.4086
3790,6.8640,14.3729
3791,6.6610,15.0071
3792,4.0086,9.6387
3793,6.8534,14.5444
3794,3.9676,16.6876
3795,5.3092,11.9096
3796,4.6784,12.9075
3797,6.3868,12.2787
3798,4.3841,8.9344
3799,6.9871,15.8055
3800,5.3548,12.9375
3801,7.1629,13.4622
3802,7.4952,15.9645
3803,6.0838,14.4129
3804,4.7065,18.5087
3805,7.9363,16.4147
3806,4.8150,13.5594
3807,5.3043,16.9414
3808,8.0780,17.8821
3809,8.3814,16.6606
3810,3.8411,9.7085
3811,8.2750,14.2288
3812,3.5486,10.5172
3813,4.5948,11.3231
3814,4.8368,13.1174
3815,4.7315,12.9970
3816,4.5263,15.5497
3817,4.2862,16.8992
3818,3.0387,11.2608
3819,5.0317,15.6331
3820,6.5466,13.0671
3821,4.4281,13.1410
3822,6.7187,15.2835
3823,4.2048,12.6749
3824,2.2814,14.9830
3825,5.0458,13.1432
3826,5.5754,14.4080
3827,4.5510,13.5433
3828,6.6955,16.9135
3829,2.8470,14.9986
3830,3.5519,11.6724
3831,5.9576,18.5926
3832,6.0574,14.2110
3833,6.7483,14.6451
3834,2.2674,11.4432
3835,2.2767,12.7373
3836,3.9265,10.1109
3837,8.0349,15.7523
3838,3.4819,9.7836
3839,7.1064,19.6343
3840,7.3577,13.8399
3841,7.1506,16.2108
3842,3.7911,15.9796
3843,5.6374,12.9290
3844,5.8878,17.6054
3845,6.7840,12.9189
3846,8.7150,19.1018
3847,4.5405,18.3811
3848,5.5700,13.2699
3849,5.4510,12.8163
3850,5.9130,12.6952
3851,7.6221,15.9499
3852,3.9477,14.1653
3853,4.1969,14.6525
3854,6.4402,14.6720
3855,3.9340,11.3359
3856,5.0089,12.4598
3857,6.5686,15.8938
3858,4.3922,12.7377
3859,6.0978,14.3658
3860,8.5906,18.6713
3861,3.8680,15.8227
3862,5.7138,12.9460
3863,4.0297,13.1797
3864,3.2125,12.6613
3865,5.5579,15.5320
3866,7.1834,17.5778
3867,4.9821,9.1283
3868,5.5022,14.5227
3869,5.6893,11.7320
3870,4.0878,9.9483
3871,5.4054,12.8665
3872,6.0898,10.4849
3873,4.0411,11.3202
3874,3.4390,11.5045
3875,8.7657,16.1321
3876,4.9557,12.6800
3877,5.1232,12.5203
3878,4.6037,16.3854
3879,4.1989,10.5787
3880,4.0346,9.0903
3881,6.8054,14.6025
3882,4.9920,14.2481
3883,6.0010,14.4613
3884,7.6626,14.7646
3885,7.4786,15.9055
3886,2.3309,10.9360
3887,4.2122,10.0973
3888,8.0934,19.0697
3889,4.4418,12.3285
3890,3.8152,11.2029
3891,6.7366,13.4280
3892,4.9193,11.6151
3893,8.7737,17.9663
3894,4.6689,15.8393
3895,7.5764,16.3913
3896,2.1154,8.0202
3897,4.2994,12.0922
3898,5.4301,15.2999
3899,4.1108,13.5079
3900,3.4481,12.1199
3901,4.3106,15.7350
3902,6.4400,13.9560
3903,3.3577,9.5305
3904,6.1256,13.0715
3905,4.2448,12.2046
3906,7.4724,15.5343
3907,8.7666,18.1776
3908,4.9459,12.8837
3909,4.5011,11.7361
3910,5.7769,15.2557
3911,7.5161,17.2718
3912,5.7264,15.3952
3913,4.9224,12.6356
3914,3.5807,10.5929
3915,7.6221,17.0857
3916,4.0701,11.3406
3917,5.2147,12.3787
3918,5.6053,11.6423
3919,9.4755,18.2604
3920,4.8027,11.2429
3921,3.6764,10.9711
3922,4.7441,14.8474
3923,6.7909,16.4213
3924,5.7936,17.0994
3925,5.9457,11.5671
3926,4.4874,12.9785
3927,5.2521,15.0372
3928,3.3682,10.0832
3929,5.3923,11.0147
3930,3.3819,11.8341
3931,4.4003,12.2043
3932,5.0586,11.8941
3933,7.3209,15.1168
3934,3.8103,7.8357
3935,5.4682,12.8472
3936,6.6282,14.4829
3937,3.9440,9.5336
3938,6.6739,14.1517
3939,3.4133,10.6959
3940,5.5595,15.3699
3941,6.2306,17.7154
3942,6.9594,14.8921
3943,4.6500,13.4188
3944,2.9962,9.3915
3945,5.9803,14.7609
3946,2.1094,5.6690
3947,4.6166,12.5465
3948,5.9713,18.1391
3949,5.5799,9.7499
3950,4.1994,10.9041
3951,6.7455,13.7625
3952,8.4865,17.1114
3953,4.0544,12.2524
3954,5.4260,12.5332
3955,8.6912,15.3905
3956,4.6086,13.3418
3957,5.0259,13.0473
3958,6.6563,15.0755
3959,5.1158,11.3130
3960,4.4120,11.3721
3961,3.2826,11.9699
3962,7.0478,14.8879
3963,7.1286,15.9945
3964,6.3404,15.0503
3965,4.2853,9.0932
3966,3.8317,11.5883
3967,5.8117,10.6359
3968,6.8047,16.3616
3969,3.8783,10.6846
3970,5.2817,14.2739
3971,6.3096,12.3399
3972,5.7118,15.5433
3973,6.8434,17.5977
3974,7.7448,14.2980
3975,5.8828,15.6621
3976,4.9241,12.1274
3977,7.6985,14.9936
3978,5.2919,12.7114
3979,3.5208,14.0845
3980,6.3614,13.1766
3981,7.0833,13.2870
3982,4.7167,11.7932
3983,3.2678,12.1855
3984,5.5825,12.2795
3985,6.4004,13.2812
3986,7.9286,16.0367
3987,5.8746,13.1918
3988,5.6364,13.3729
3989,4.9150,13.4370
3990,6.4109,14.4723
3991,3.8230,12.5097
3992,7.1152,16.9107
3993,3.2626,13.4230
3994,10.0061,17.0835
3995,6.2207,12.4754
3996,6.4615,13.6530
3997,4.8174,12.6040
3998,3.4028,12.5354
3999,4.4441,12.3796
4000,5.5547,16.5556
4001,5.2177,10.4705
4002,3.3712,12.3640
4003,3.5726,11.6319
4004,3.1497,11.7760
4005,7.9538,17.4527
4006,4.2831,11.6815
4007,5.4626,12.6295
4008,2.9046,12.1373
4009,3.4792,13.6970
4010,6.9726,15.6377
4011,5.8560,15.8226
4012,6.6118,15.0710
4013,3.3382,8.1334
4014,4.7138,12.3619
4015,5.5002,13.8483
4016,8.6396,16.8154
4017,4.1318,17.0179
4018,5.3462,13.6937
4019,4.2493,10.8389
4020,7.2531,16.2550
4021,4.8782,10.7982
4022,7.8677,14.9727
4023,6.2662,14.9763
4024,4.7608,12.7104
4025,5.8005,18.2472
4026,2.8643,8.1523
4027,5.3456,12.2692
4028,5.0675,11.2819
4029,3.8671,13.0710
4030,6.6221,12.2064
4031,5.7789,17.7766
4032,4.7735,12.9707
4033,2.2864,7.7233
4034,3.7405,15.7222
4035,6.5103,12.8331
4036,6.8959,17.9564
4037,5.3168,12.1822
4038,6.3659,12.8744
4039,5.2434,16.0527
4040,3.6277,7.9304
4041,5.7013,13.3838
4042,2.2405,6.1033
4043,5.6004,11.1817
4044,3.7637,12.4494
4045,5.6441,16.1478
4046,9.3430,20.1752
4047,7.2434,15.0652
4048,5.0483,12.1402
4049,6.5356,14.0328
4050,6.1162,14.8167
4051,3.9865,10.2584
4052,4.0222,11.7972
4053,2.6635,10.2359
4054,5.4756,14.0206
4055,5.5301,16.0162
4056,4.9631,11.0503
4057,5.6607,10.9698
4058,2.9182,9.9874
4059,5.6589,14.1365
4060,5.2364,11.8275
4061,7.8391,16.0986
4062,5.8272,13.3567
4063,2.5836,13.6117
4064,7.4857,15.8707
4065,6.4137,11.5526
4066,7.5790,14.6292
4067,4.6334,14.4675
4068,5.5010,13.5612
4069,3.9983,10.6320
4070,4.0003,13.2136
4071,6.7681,14.4162
4072,7.7784,14.5468
4073,4.5424,10.2285
4074,3.4831,9.5803
4075,4.3486,10.0813
4076,5.2404,10.7404
4077,7.6075,14.3830
4078,5.1648,10.2156
4079,6.5063,14.9451
4080,6.0244,16.3146
4081,6.8875,15.2547
4082,3.3839,13.8508
4083,6.3081,15.6660
4084,3.8778,8.8797
4085,5.1351,11.3314
4086,4.4903,10.1370
4087,9.0810,15.9504
4088,10.1774,18.0844
4089,6.5941,12.2144
4090,5.2941,11.1039
4091,3.0144,15.6736
4092,4.3622,8.5822
4093,2.1695,13.0086
4094,4.3173,10.4506
4095,3.5054,14.8479
4096,4.9346,11.9273
4097,8.6738,16.6923
4098,5.3701,14.0083
4099,3.7568,15.6492
4100,6.8830,16.4678
4101,5.3403,12.5478
4102,8.6020,19.9762
4103,3.9653,12.2023
4104,6.6639,15.2690
4105,3.2054,11.3624
4106,6.4960,16.6129
4107,6.3573,12.4677
4108,4.4723,13.8377
4109,5.4892,15.0470
4110,3.0571,12.7399
4111,5.6175,16.1510
4112,6.6194,14.9515
4113,3.9524,14.0083
4114,6.8633,14.6780
4115,4.0843,12.8422
4116,4.1233,14.9658
4117,2.7675,13.0997
4118,8.9124,17.0125
4119,6.1000,14.8915
4120,2.2047,12.6239
4121,5.0285,11.1956
4122,7.1595,17.7155
4123,2.7921,11.5480
4124,4.3531,10.6726
4125,4.6203,12.6582
4126,3.8000,10.6191
4127,4.1555,13.4384
4128,7.0049,17.3977
4129,5.1233,15.1065
4130,6.5771,12.3476
4131,8.3824,17.3522
4132,2.8279,12.3565
4133,3.4554,10.0587
4134,3.3960,11.4805
4135,4.3729,15.1376
4136,3.7507,16.9038
4137,5.9708,16.9876
4138,5.6388,15.0497
4139,6.7793,18.5522
4140,4.4386,12.0565
4141,7.8076,14.4117
4142,5.7690,14.9272
4143,5.8019,15.0702
4144,2.6351,9.9778
4145,5.6925,12.2148
4146,7.0771,15.6357
4147,4.9991,14.7102
4148,4.1079,14.3580
4149,8.4532,13.8109
4150,4.7827,14.6476
4151,3.8599,9.6499
4152,4.0942,11.0636
4153,4.7516,11.3771
4154,5.9207,13.4283
4155,5.5695,16.2693
4156,5.8192,14.8054
4157,5.4395,12.4476
4158,6.7581,14.8845
4159,5.7448,12.9357
4160,4.9009,11.6302
4161,7.5672,15.7640
4162,4.4770,14.2360
4163,4.9467,14.4642
4164,4.5505,11.8749
4165,7.1081,13.4243
4166,3.4652,11.3115
4167,5.5405,11.4867
4168,5.3475,13.1808
4169,6.4492,12.6221
4170,6.4392,14.6317
4171,3.0454,12.9157
4172,4.0057,12.4142
4173,7.2055,15.0383
4174,6.9918,17.5332
4175,5.5929,14.9780
4176,4.5087,13.7675
4177,3.8633,12.4541
4178,5.3385,13.3194
4179,3.8875,10.5056
4180,3.9096,13.8897
4181,3.7363,11.2045
4182,6.2799,14.0093
4183,4.2702,12.8607
4184,3.3108,10.5503
4185,7.3299,13.4947
4186,9.2711,17.7727
4187,6.9437,15.5803
4188,3.3030,10.5823
4189,5.3329,13.3324
4190,3.2626,12.8290
4191,7.3457,14.0023
4192,5.6775,13.3989
4193,4.6962,11.7323
4194,4.4810,13.2911
4195,4.9634,12.2400
4196,9.0797,18.6275
4197,4.4982,9.3398
4198,5.3902,12.9434
4199,4.9281,12.2289
4200,3.6292,9.1238
4201,3.7224,11.6215
4202,6.6953,14.7836
4203,3.0240,8.5013
4204,5.5362,14.7258
4205,6.2179,17.1003
4206,5.9457,12.6160
4207,6.0544,12.7544
4208,7.9278,15.3273
4209,3.9645,13.9800
4210,5.5564,13.2692
4211,4.1049,9.1382
4212,5.8785,17.1830
4213,4.7466,12.5607
4214,7.0609,13.8083
4215,6.0783,13.5777
4216,5.9465,14.2167
4217,5.2240,12.5207
4218,3.6790,10.5846
4219,2.5692,13.2860
4220,7.3297,16.5642
4221,5.1834,10.4665
4222,6.5933,13.3387
4223,4.9353,15.5366
4224,5.1420,14.4866
4225,6.8633,14.1440
4226,7.6575,14.9998
4227,5.2897,11.9515
4228,6.1421,14.4473
4229,4.4412,12.7712
4230,3.1906,14.2286
4231,3.9619,11.9143
4232,3.3842,16.9857
4233,5.4287,14.7999
4234,7.0030,14.6149
4235,6.9998,14.0856
4236,3.1492,8.9116
4237,5.4618,11.2683
4238,4.4118,12.5822
4239,8.2426,18.3938
4240,5.7209,12.3484
4241,6.3615,17.2356
4242,4.8420,13.5797
4243,6.7338,16.3628
4244,6.4608,18.6526
4245,6.6804,15.6288
4246,6.7454,13.2180
4247,7.8250,16.7279
4248,7.0928,17.0192
4249,5.8395,13.1508
4250,5.6348,13.5779
4251,6.2754,11.3196
4252,4.1735,9.9877
4253,6.3888,15.0262
4254,4.3355,14.6081
4255,8.1157,16.5924
4256,5.0540,14.8208
4257,4.8818,11.7152
4258,5.6819,14.2625
4259,6.1934,13.2993
4260,5.7902,16.2667
4261,7.9402,16.1216
4262,3.6615,13.5611
4263,5.5480,15.2319
4264,3.1396,8.4861
4265,4.4224,12.8886
4266,6.9574,15.3925
4267,7.7589,15.4600
4268,10.6565,19.7538
4269,5.4669,17.7038
4270,2.9912,15.0307
4271,5.8677,12.1175
4272,5.9722,15.7962
4273,5.0448,12.7944
4274,5.1885,11.9016
4275,2.6450,17.5423
4276,8.9762,14.4294
4277,7.3675,15.5204
4278,4.9866,12.2712
4279,5.2005,12.6109
4280,5.8342,12.9263
4281,4.2415,10.5741
4282,4.5390,10.6610
4283,7.7411,12.6506
4284,1.8612,13.4775
4285,6.0294,16.2918
4286,9.0860,18.2886
4287,5.8228,12.4949
4288,5.2129,12.1594
4289,4.5589,11.3598
4290,6.4994,13.5736
4291,3.4499,10.0653
4292,7.0806,15.3858
4293,6.6468,15.9650
4294,4.8071,11.1238
4295,3.6946,11.6195
4296,5.5755,18.7404
4297,8.7290,17.7436
4298,5.7284,15.1553
4299,3.7821,15.2775
4300,5.2232,10.4132
4301,6.1430,15.3832
4302,5.2886,14.9969
4303,2.8094,11.5163
4304,3.9739,12.7848
4305,6.3403,15.3297
4306,5.8841,10.9919
4307,3.8230,12.3442
4308,5.1284,12.6383
4309,5.6079,17.2568
4310,6.0948,14.9555
4311,4.4763,10.9063
4312,5.7824,12.9490
4313,3.2780,15.8808
4314,3.2865,10.3556
4315,5.2892,11.7273
4316,5.0338,17.1032
4317,4.9554,15.1495
4318,5.2851,17.0059
4319,8.3696,17.6584
4320,3.1928,8.7798
4321,6.0174,15.7438
4322,6.6468,16.6133
4323,7.7505,15.5991
4324,7.0858,14.4813
4325,7.6386,16.5582
4326,4.0921,10.0681
4327,3.8431,12.5649
4328,6.1361,14.3737
4329,6.5885,16.0699
4330,6.0613,12.6650
4331,5.7097,12.7915
4332,7.0457,17.1922
4333,4.8658,14.1344
4334,5.6777,17.1500
4335,2.9840,11.4367
4336,8.4281,17.2386
4337,6.8835,14.8290
4338,4.7220,11.8925
4339,3.9870,12.7214
4340,5.2736,13.8584
4341,5.3844,12.3311
4342,4.7420,12.9956
4343,2.3070,10.2290
4344,3.7953,11.7524
4345,4.8451,12.2320
4346,7.3098,17.7118
4347,8.1086,14.8072
4348,5.5211,12.3369
4349,3.7461,10.7690
4350,4.4965,11.4115
4351,6.8222,13.4023
4352,9.4148,17.2370
4353,5.3611,14.6170
4354,8.7161,16.3973
4355,3.6466,16.2800
4356,4.7510,14.9337
4357,8.9464,16.1919
4358,5.8149,12.2920
4359,4.9836,11.8230
4360,3.7243,11.4535
4361,6.5325,12.9774
4362,4.1233,13.4552
4363,7.4453,14.8108
4364,5.5842,19.3491
4365,6.7718,15.6499
4366,4.9143,13.1575
4367,7.2495,15.7100
4368,2.2781,5.0198
4369,5.0476,12.0885
4370,3.6147,10.6936
4371,6.1324,22.2224
4372,3.9244,13.0715
4373,9.3971,16.3877
4374,5.9273,13.6591
4375,6.0774,12.2910
4376,10.1738,19.5821
4377,4.8253,11.3329
4378,4.4476,11.6224
4379,3.6451,12.0831
4380,5.3116,12.6711
4381,4.9225,14.6926
4382,3.3186,9.3909
4383,8.2579,18.7171
4384,8.2495,15.3615
4385,4.5144,14.0908
4386,4.2275,11.0750
4387,4.8993,10.0798
4388,6.0556,16.3947
4389,3.2027,11.1762
4390,7.8843,17.0789
4391,5.4513,14.8543
4392,6.6303,11.3458
4393,5.7331,14.9493
4394,9.0523,18.9192
4395,6.2657,13.1807
4396,5.0774,11.7997
4397,4.5922,13.1179
4398,2.6261,8.5497
4399,5.1542,11.9301
4400,4.7516,14.3270
4401,6.9606,13.7865
4402,7.0310,14.4099
4403,7.5354,14.5098
4404,9.4497,16.9891
4405,4.7327,9.7460
4406,4.5697,15.1566
4407,5.0104,11.2570
4408,6.4357,13.1707
4409,5.4896,11.7644
4410,6.8717,12.4836
4411,7.1041,15.3551
4412,6.6217,17.5466
4413,5.5789,14.5928
4414,6.1807,16.6512
4415,7.1819,13.3352
4416,3.9304,15.1521
4417,6.8041,15.2013
4418,3.4883,11.2556
4419,6.6899,16.4919
4420,4.2563,12.0439
4421,4.5622,10.6947
4422,7.0384,16.9314
4423,6.9216,18.5408
4424,6.4903,14.1387
4425,5.8391,13.5992
4426,4.9929,12.3139
4427,6.6591,16.0073
4428,4.9313,16.6592
4429,4.9876,9.2001
4430,8.2731,14.9343
4431,3.8390,12.1963
4432,4.7824,12.8324
4433,4.7852,11.1477
4434,2.5820,13.1449
4435,8.8672,17.1271
4436,5.3302,13.7256
4437,4.9841,10.5215
4438,6.7788,14.8486
4439,5.6503,12.2430
4440,4.0424,9.2575
4441,3.9891,16.6948
4442,7.7181,18.2520
4443,4.6798,16.1326
4444,5.8631,18.0146
4445,3.8796,12.3927
4446,6.9163,14.1602
4447,6.3424,14.0403
4448,4.0624,18.7010
4449,5.4904,11.6101
4450,6.4087,11.5510
4451,6.1327,12.6302
4452,7.1628,14.1849
4453,5.3895,17.3208
4454,6.7670,14.2160
4455,4.6403,9.0363
4456,6.7493,14.4866
4457,5.0010,17.8032
4458,4.3137,9.7151
4459,2.5208,11.1233
4460,8.9855,16.4053
4461,3.2071,12.6165
4462,5.3125,14.0665
4463,5.6180,13.2434
4464,6.4946,14.4205
4465,4.3490,12.0860
4466,7.7208,15.8065
4467,6.4225,15.1458
4468,4.9949,12.0750
4469,3.0440,14.2992
4470,6.0246,14.7579
4471,5.1060,11.0787
4472,5.7517,15.2341
4473,5.1695,15.5715
4474,5.3348,9.8890
4475,4.2937,15.6649
4476,6.0347,11.8517
4477,5.5415,13.2074
4478,4.3691,15.8753
4479,8.3142,15.8153
4480,6.3324,13.3607
4481,5.1829,13.2689
4482,5.5601,12.9692
4483,7.0406,15.6323
4484,3.0559,12.1312
4485,5.3848,15.5590
4486,3.0079,12.5641
4487,6.1175,12.1053
4488,7.1559,19.7817
4489,7.1792,15.1084
4490,3.2515,14.8346
4491,7.5609,14.3700
4492,7.6001,13.3005
4493,3.2490,15.4529
4494,4.1073,14.4080
4495,5.4409,20.5813
4496,7.6571,18.0163
4497,6.9008,14.0741
4498,5.3772,13.6409
4499,8.1527,17.8643
4500,4.4791,11.0930
4501,7.2400,19.1238
4502,5.9047,15.6829
4503,4.7030,13.5229
4504,2.9745,11.5930
4505,5.0259,12.7741
4506,4.9517,15.5993
4507,4.3747,14.8400
4508,4.2544,16.5432
4509,3.6919,13.9358
4510,2.9955,12.3776
4511,10.4128,18.9170
4512,3.2049,12.2648
4513,6.5685,16.2587
4514,3.7933,11.2265
4515,3.1691,11.5760
4516,2.7256,10.1705
4517,10.0894,22.4966
4518,8.7863,20.2980
4519,6.6286,16.4334
4520,7.0533,20.9132
4521,4.0040,11.0035
4522,6.5941,12.4602
4523,9.3811,19.3039
4524,5.0312,10.3734
4525,5.2352,12.1580
4526,2.9752,13.4463
4527,8.2385,17.3875
4528,2.2366,6.8648
4529,7.0225,17.5239
4530,6.8451,13.2759
4531,5.5991,15.6393
4532,5.4927,17.2201
4533,3.7243,9.9964
4534,5.2996,10.6142
4535,8.4832,19.3786
4536,6.9251,17.0048
4537,3.8277,9.3736
4538,5.2400,14.1188
4539,4.6012,16.0613
4540,5.4264,13.5201
4541,4.9483,13.3411
4542,7.1639,19.2148
4543,4.4483,13.7998
4544,3.0858,16.7269
4545,8.4505,20.6613
4546,5.5459,17.0041
4547,6.6201,14.4320
4548,2.8633,13.5034
4549,5.5973,15.3957
4550,2.7123,7.7267
4551,6.7723,14.4569
4552,8.0115,15.8794
4553,5.6702,18.6048
4554,8.2089,19.2254
4555,7.3530,16.1005
4556,2.3597,11.7882
4557,4.2130,10.5109
4558,2.5618,11.4867
4559,3.5925,12.9806
4560,3.5728,7.3057
4561,5.5950,16.0598
4562,5.6878,16.4318
4563,5.3726,16.7263
4564,6.3869,13.5083
4565,3.5825,10.1109
4566,2.7935,13.8284
4567,4.4741,14.5211
4568,5.0447,15.0708
4569,5.0765,21.4070
4570,4.5735,12.4013
4571,5.9920,16.4730
4572,5.6604,12.2259
4573,3.9657,9.5566
4574,5.7350,14.3512
4575,5.0689,14.6806
4576,4.1829,15.4366
4577,4.4670,12.5289
4578,6.5740,13.4013
4579,4.3760,14.5935
4580,4.4590,10.2946
4581,5.5064,11.6516
4582,4.4303,10.7091
4583,7.3333,15.0974
4584,5.5110,13.1769
4585,4.8445,11.8026
4586,4.9113,12.4860
4587,4.0584,10.3038
4588,6.1673,15.9931
4589,7.9892,18.6116
4590,7.2193,13.6391
4591,4.6898,15.3977
4592,4.8988,14.8526
4593,7.8612,17.3080
4594,5.3352,12.8449
4595,5.8592,13.4407
4596,6.9374,13.9973
4597,2.6363,17.2479
4598,6.1973,16.4410
4599,4.1110,11.2008
4600,4.9513,14.9338
4601,4.6396,12.9318
4602,5.8428,11.2086
4603,4.1515,10.1965
4604,6.2515,17.0887
4605,3.0747,11.2033
4606,5.2873,15.7920
4607,8.4857,17.8591
4608,3.8076,10.0141
4609,4.1300,11.2287
4610,5.4058,11.6437
4611,5.3441,13.2227
4612,5.9395,16.1300
4613,6.0266,13.5615
4614,10.9808,21.7714
4615,4.0401,12.4798
4616,3.9479,11.3238
4617,7.8693,13.9383
4618,7.5285,14.4407
4619,4.5162,14.7119
4620,4.4542,8.7553
4621,5.5226,14.8062
4622,7.9358,15.9507
4623,5.9487,14.5436
4624,8.8910,16.6908
4625,5.3401,12.2794
4626,3.5844,14.2814
4627,4.9133,15.2322
4628,6.8829,17.3337
4629,5.5668,15.0374
4630,3.7178,11.1417
4631,7.0033,15.7392
4632,7.1394,14.1545
4633,7.8028,17.4917
4634,9.0056,15.9564
4635,7.9356,14.2197
4636,5.9223,15.2234
4637,4.4849,10.3392
4638,6.5295,16.2381
4639,4.3854,14.0156
4640,4.5097,10.0677
4641,2.4119,14.5266
4642,3.0279,15.9916
4643,5.9161,15.3230
4644,6.1836,14.5010
4645,6.3168,16.2538
4646,8.0354,17.9689
4647,3.2527,14.9803
4648,5.1061,15.7261
4649,6.0340,16.5756
4650,6.7311,14.9743
4651,5.4576,14.9388
4652,7.1896,16.6611
4653,7.2689,15.5447
4654,7.7269,18.5740
4655,8.5541,17.3767
4656,5.3001,10.6309
4657,10.3199,19.6459
4658,5.8299,12.8791
4659,3.5499,15.1239
4660,6.5658,14.1451
4661,4.8487,12.5947
4662,2.0984,11.8057
4663,3.1635,13.3393
4664,6.0222,15.5412
4665,9.2231,17.1310
4666,8.0303,19.4307
4667,3.2178,8.9023
4668,3.7508,13.6120
4669,3.4385,11.2169
4670,8.2563,17.0231
4671,7.2740,15.1774
4672,7.4729,16.8735
4673,3.9125,11.7947
4674,5.1033,12.8224
4675,5.4672,13.6901
4676,6.2690,15.6343
4677,7.7525,15.7783
4678,3.8638,11.4060
4679,5.7037,20.8999
4680,4.2907,14.7238
4681,4.0929,13.4229
4682,7.3229,21.8463
4683,6.1405,11.5646
4684,8.1662,17.2557
4685,5.0636,10.9963
4686,5.4020,14.5600
4687,5.6556,13.9712
4688,4.2420,13.4325
4689,4.8891,11.8318
4690,5.5471,11.6921
4691,4.0142,13.9313
4692,7.2435,16.2776
4693,5.5357,13.8890
4694,6.4366,12.2129
4695,5.9213,14.1786
4696,6.4104,19.3658
4697,4.0567,12.0319
