steps,avg_loss,mean_td_error
265,0.2755,0.9873
266,0.1561,0.9892
267,0.3160,1.0025
268,0.2451,0.8803
269,0.2894,0.9399
270,0.2023,0.8697
271,0.3266,0.9933
272,0.1699,0.8983
273,0.2843,0.9409
274,0.2939,0.9865
275,0.2120,0.9664
276,0.2461,0.9255
277,0.2621,0.9492
278,0.2549,0.8855
279,0.2667,0.9056
280,0.1965,0.9330
281,0.1982,0.8823
282,0.2853,0.9540
283,0.3010,0.9809
284,0.2275,0.9424
285,0.3126,1.0133
286,0.2434,0.9893
287,0.2319,0.9451
288,0.2388,0.9369
289,0.2436,0.9191
290,0.2736,0.8974
291,0.2755,0.9045
292,0.2877,0.9179
293,0.1690,0.9134
294,0.2435,0.9136
295,0.2198,0.8964
296,0.1906,0.9347
297,0.2474,0.8985
298,0.2017,0.9141
299,0.2144,0.8251
300,0.1505,0.8678
301,0.1961,0.9489
302,0.0991,0.8607
303,0.1901,0.8688
304,0.2331,0.8909
305,0.2315,0.8407
306,0.2183,0.8617
307,0.1889,0.7150
308,0.2271,0.8780
309,0.2950,0.9033
310,0.1489,0.8507
311,0.1637,0.7969
312,0.1843,0.8029
313,0.2117,0.8288
314,0.2378,0.8344
315,0.2120,0.8623
316,0.2269,0.9083
317,0.1851,0.8041
318,0.2101,0.8678
319,0.1968,0.8176
320,0.2669,0.8508
321,0.2453,0.8538
322,0.1823,0.7841
323,0.2063,0.8874
324,0.1307,0.8705
325,0.1772,0.7761
326,0.1442,0.8401
327,0.1955,0.8242
328,0.1845,0.8913
329,0.2128,0.7904
330,0.1497,0.8071
331,0.0872,0.8340
332,0.0784,0.8048
333,0.2382,0.8554
334,0.1458,0.8034
335,0.1362,0.8252
336,0.2096,0.8031
337,0.1891,0.8429
338,0.1105,0.7911
339,0.1439,0.7002
340,0.3398,0.9388
341,0.2529,0.8829
342,0.1411,0.7858
343,0.1986,0.7983
344,0.1978,0.8541
345,0.1702,0.8667
346,0.1750,0.8326
347,0.1968,0.7756
348,0.1057,0.8010
349,0.2249,0.8025
350,0.2848,0.8370
351,0.2534,0.8520
352,0.2077,0.8571
353,0.1645,0.8251
354,0.2041,0.7230
355,0.1418,0.7675
356,0.1932,0.7720
357,0.1971,0.8452
358,0.1030,0.7176
359,0.2233,0.8388
360,0.1705,0.7914
361,0.1655,0.7888
362,0.2334,0.8213
363,0.1163,0.7765
364,0.1811,0.8300
365,0.2928,0.8707
366,0.1053,0.7466
367,0.1286,0.7495
368,0.1040,0.8116
369,0.1557,0.7858
370,0.2131,0.7947
371,0.0896,0.7413
372,0.1304,0.7739
373,0.2277,0.7857
374,0.1408,0.7963
375,0.1466,0.7959
376,0.2326,0.7806
377,0.1411,0.8057
378,0.1488,0.8131
379,0.2405,0.8557
380,0.1141,0.7681
381,0.1435,0.8370
382,0.2058,0.8059
383,0.1888,0.7575
384,0.2034,0.8203
385,0.1445,0.7948
386,0.1913,0.8066
387,0.1712,0.8229
388,0.1064,0.7989
389,0.1506,0.7994
390,0.2683,0.8380
391,0.1518,0.7753
392,0.2504,0.8088
393,0.1514,0.7625
394,0.2594,0.8323
395,0.1488,0.8287
396,0.2481,0.8710
397,0.1388,0.7949
398,0.2425,0.7943
399,0.2656,0.8162
400,0.1681,0.7864
401,0.1129,0.7956
402,0.2421,0.8040
403,0.2458,0.8521
404,0.2434,0.7928
405,0.0979,0.7409
406,0.1327,0.7315
407,0.1744,0.8145
408,0.1744,0.7484
409,0.2173,0.7939
410,0.2148,0.7385
411,0.1446,0.8156
412,0.2115,0.7664
413,0.1430,0.7307
414,0.1964,0.7272
415,0.2406,0.8295
416,0.0893,0.6854
417,0.1590,0.7594
418,0.2228,0.7739
419,0.1534,0.7866
420,0.1982,0.8074
421,0.1563,0.7690
422,0.0946,0.6866
423,0.1951,0.7419
424,0.1863,0.7894
425,0.1771,0.7177
426,0.1736,0.7694
427,0.1824,0.7578
428,0.1206,0.7647
429,0.1966,0.7464
430,0.1850,0.7315
431,0.2133,0.7520
432,0.1820,0.8121
433,0.0969,0.8105
434,0.1531,0.7118
435,0.1837,0.8183
436,0.1930,0.7651
437,0.1030,0.7671
438,0.1854,0.7519
439,0.1545,0.7379
440,0.1382,0.7143
441,0.1729,0.7040
442,0.1960,0.7558
443,0.0828,0.6859
444,0.1616,0.7374
445,0.1212,0.7768
446,0.2096,0.7923
447,0.2284,0.7526
448,0.1794,0.7888
449,0.2191,0.7438
450,0.1853,0.7522
451,0.1879,0.7564
452,0.1571,0.7938
453,0.1037,0.7481
454,0.1034,0.7857
455,0.1007,0.7530
456,0.1762,0.7341
457,0.1917,0.7490
458,0.1526,0.7500
459,0.1924,0.6982
460,0.2032,0.7900
461,0.2031,0.7873
462,0.2263,0.8332
463,0.1816,0.7652
464,0.2253,0.8002
465,0.1323,0.7222
466,0.1678,0.7259
467,0.1963,0.7496
468,0.2482,0.8306
469,0.1733,0.7565
470,0.1252,0.7576
471,0.2557,0.7812
472,0.1546,0.7578
473,0.2113,0.7794
474,0.1912,0.7742
475,0.1511,0.6983
476,0.1362,0.7816
477,0.1509,0.6942
478,0.1876,0.7426
479,0.2030,0.7569
480,0.1309,0.7634
481,0.1116,0.7199
482,0.1946,0.7810
483,0.2375,0.7819
484,0.0796,0.7457
485,0.1930,0.7362
486,0.2266,0.7623
487,0.1095,0.7232
488,0.2638,0.7933
489,0.1852,0.7731
490,0.2006,0.7717
491,0.4406,1.1788
492,0.1253,0.6964
493,0.6968,2.0020
494,0.9626,2.3931
495,0.4046,1.1616
496,0.4985,1.6082
497,1.0948,2.3631
498,0.6865,1.5569
499,0.9319,2.3664
500,0.4352,1.1454
501,0.9956,2.4036
502,0.4481,1.1643
503,1.1263,2.4246
504,1.2825,2.3672
505,0.4146,1.5165
506,1.0258,2.3846
507,0.6592,1.5498
508,0.6600,1.5611
509,0.8009,2.4293
510,0.9968,2.3587
511,1.2991,3.6529
512,0.8855,1.9472
513,1.6021,3.1988
514,0.7775,2.3522
515,0.7725,1.5584
516,0.4809,1.5399
517,0.9767,2.0114
518,0.6489,1.5754
519,0.3636,1.1273
520,0.1588,0.7786
521,1.1506,2.3979
522,0.7585,1.6092
523,0.6230,1.5695
524,1.1064,2.3788
525,0.2485,1.5572
526,0.6299,1.5658
527,1.0718,2.3992
528,1.0684,2.8333
529,0.3448,1.9418
530,1.3353,2.8281
531,0.7824,1.5853
532,0.6379,1.5532
533,0.2706,1.2001
534,0.9134,1.9584
535,0.4088,1.1838
536,1.1805,2.8292
537,0.7623,1.9015
538,0.6630,1.5387
539,0.7334,2.0309
540,0.6703,2.7813
541,0.6759,1.5662
542,0.6370,1.9347
543,1.1946,2.8423
544,0.8803,2.0107
545,1.0084,2.7938
546,0.6386,1.5050
547,0.7638,1.9624
548,1.1577,2.3994
549,0.4502,1.2115
550,0.7676,1.9592
551,0.3672,1.1714
552,1.0942,2.3749
553,1.0339,2.0148
554,1.0158,2.3377
555,1.0547,3.1868
556,0.8123,1.9402
557,0.9159,1.9784
558,0.8175,1.5794
559,1.4385,3.6224
560,0.4651,1.1775
561,0.4310,1.1428
562,0.5501,1.6403
563,0.3921,1.1682
564,0.7580,1.9647
565,0.5581,1.9608
566,0.2469,0.7851
567,0.5563,1.5609
568,1.7478,3.1439
569,0.6913,1.5678
570,0.6710,1.5589
571,1.6815,3.6379
572,1.6181,3.2423
573,0.9320,1.9391
574,1.3885,2.8063
575,0.7395,2.0084
576,1.3104,2.7564
577,1.1909,2.8011
578,1.6958,3.5969
579,0.5781,2.8160
580,1.5355,2.7900
581,0.2716,1.1433
582,0.8532,2.7428
583,0.7244,1.5455
584,0.6112,1.5645
585,0.8960,1.9717
586,0.6898,1.5700
587,1.1667,2.3844
588,1.0312,1.9902
589,1.8999,3.5487
590,0.9366,1.9667
591,0.2034,0.7377
592,1.0737,2.4064
593,1.8563,3.5413
594,1.2151,2.3645
595,1.1298,2.3465
596,0.2857,1.0965
597,0.9063,2.3323
598,1.1683,2.3885
599,0.9389,1.9669
600,0.3806,1.1272
601,0.1569,0.7056
602,0.6729,1.9508
603,1.3115,2.7348
604,1.0835,1.9931
605,0.5542,1.5604
606,0.4740,1.1768
607,0.3933,1.0981
608,1.9155,3.5606
609,0.5889,1.5590
610,1.3901,2.7783
611,0.6931,1.5142
612,0.4257,1.5318
613,1.4551,2.7435
614,0.4356,1.1383
615,1.2658,2.3412
616,0.4678,1.5301
617,0.3831,1.1279
618,0.5879,1.5533
619,0.8349,1.9242
620,0.9633,2.3117
621,0.5006,1.5375
622,1.2625,2.7502
623,1.0941,2.3221
624,0.3626,1.1018
625,0.5735,1.9481
626,0.8826,1.9123
627,0.6725,1.5488
628,0.4279,1.0984
629,0.5399,1.5653
630,1.0782,1.9318
631,0.1510,0.6957
632,0.8578,1.9792
633,0.4002,1.4933
634,0.1885,0.7504
635,0.6223,1.5698
636,0.8459,2.3517
637,1.3074,2.7306
638,0.7549,1.5615
639,1.1422,2.3540
640,0.3459,1.0870
641,0.8051,1.9307
642,1.2947,2.7880
643,1.0502,1.9276
644,0.5144,1.5304
645,1.4281,3.1667
646,0.4419,1.1606
647,0.1780,0.7311
648,1.0880,2.3082
649,0.4258,1.0846
650,0.8548,1.9377
651,0.1743,0.7121
652,0.4121,1.0858
653,1.2099,3.1853
654,0.9760,3.1438
655,0.7577,1.9147
656,0.4818,1.4868
657,0.9796,1.8945
658,0.3403,1.0613
659,0.4028,1.1063
660,1.1710,2.2568
661,0.9672,1.8838
662,0.1447,0.6654
663,0.6900,1.5212
664,0.3094,1.0604
665,1.1169,2.3162
666,1.1889,2.3421
667,0.8116,1.9227
668,0.5438,1.4587
669,0.3987,1.0828
670,0.5963,1.4501
671,0.2069,0.7450
672,0.5408,1.5399
673,0.6570,1.4964
674,0.3717,1.0876
675,1.0634,2.2952
676,0.9664,1.9129
677,0.5920,1.5237
678,0.7285,1.9360
679,0.1656,0.6925
680,0.3327,1.0720
681,0.8107,1.9197
682,0.3905,1.0568
683,0.6536,1.9272
684,0.5905,1.5136
685,0.3603,1.1406
686,0.9895,2.3205
687,0.8882,1.9222
688,0.1812,0.7073
689,0.6570,1.4802
690,0.6124,1.5153
691,0.5572,1.5506
692,0.4832,1.9413
693,1.7268,3.1918
694,0.4973,1.5176
695,0.1974,0.7058
696,0.2712,1.1267
697,0.1586,0.7432
698,0.6717,1.5209
699,1.0763,2.3426
700,0.6649,1.8895
701,0.1816,0.7023
702,0.7052,1.5020
703,0.6226,1.5283
704,0.6615,1.4942
705,0.5795,1.4704
706,0.7148,1.8545
707,0.3471,1.0516
708,0.6707,1.9097
709,0.4475,1.9412
710,0.4284,1.1027
711,0.4441,1.1196
712,1.0841,2.3082
713,0.5855,1.5172
714,0.1480,0.7116
715,1.3861,2.7683
716,0.3543,1.0835
717,1.0997,2.7679
718,0.3935,1.0663
719,0.1763,0.6755
720,1.2755,3.5765
721,1.5063,2.7839
722,0.7432,4.0293
723,1.0869,2.3420
724,1.1268,2.3723
725,0.5094,1.4442
726,1.7269,3.6456
727,0.7411,1.5355
728,0.6759,1.5318
729,0.8764,2.3836
730,1.6262,3.2073
731,0.7417,2.3787
732,0.8256,1.9668
733,1.3055,2.7868
734,0.9752,2.3427
735,1.7139,3.1516
736,1.2004,2.3640
737,0.6811,1.9038
738,1.5417,3.2227
739,1.4963,2.7752
740,1.6624,3.1949
741,1.1609,3.2129
742,1.0864,2.7964
743,1.1550,2.3425
744,0.7818,1.5530
745,0.8638,2.3358
746,0.6054,1.9189
747,1.2671,3.1721
748,0.5857,1.5683
749,0.8226,1.9196
750,1.8797,3.5862
751,1.4198,3.1612
752,1.3607,4.8686
