episode,reward,steps,epsilon
0,350.69778104022646,618,0.990025
1,184.364089303685,230,0.985074875
2,137.4694127373242,68,0.9801495006250001
3,241.79974040883164,417,0.9703725093562657
4,279.3178151291782,265,0.9655206468094844
5,-59.44477944487793,78,0.960693043575437
6,122.06564208257554,95,0.9558895783575597
7,253.1348931030644,202,0.9511101304657719
8,418.0306184223376,338,0.946354579813443
9,148.2110899075222,115,0.9416228069143757
10,53.201336572116084,167,0.9369146928798039
11,301.6400263368277,496,0.9275689688183278
12,458.08083862950315,326,0.9229311239742362
13,130.1279293266326,164,0.918316468354365
14,232.09629914115055,156,0.9137248860125932
15,147.4522025234416,48,0.9091562615825302
16,383.1540038190806,361,0.9000874278732445
17,233.82463275447017,107,0.8955869907338783
18,389.1803538039554,482,0.8866535105013078
19,2382.0325339203055,989,0.8822202429488013
20,613.8084383824673,389,0.8734200960253871
21,1616.065560875459,777,0.8647077305675338
22,1281.002953678421,520,0.8603841919146962
23,1150.217581281576,389,0.8560822709551227
24,4411.5443430861405,1593,0.8475428503023453
25,2667.632050220031,919,0.8433051360508336
26,1875.041922704779,909,0.8390886103705794
27,3256.877858626641,1277,0.8307187014821328
28,903.0594222316672,309,0.8265651079747222
29,2402.4191090923086,730,0.8224322824348486
30,224.48904089151165,127,0.8183201210226743
31,2873.153788390341,852,0.8142285204175609
32,1584.4300849731794,526,0.810157377815473
33,2677.7370672408006,753,0.8061065909263957
34,204.1525372218373,157,0.8020760579717637
35,2639.3238618972555,718,0.798065677681905
36,2924.4033949305767,926,0.7940753492934954
37,1127.2050912830641,369,0.7901049725470279
38,683.6532764686814,242,0.7861544476842928
39,2216.27199218977,541,0.7822236754458713
40,2374.352462023115,611,0.778312557068642
41,2464.9237555554582,501,0.7744209942832988
42,3163.188482906231,766,0.7705488893118823
43,1759.2162080226199,469,0.7666961448653229
44,2312.703849000108,481,0.7628626641409962
45,2099.1952976498146,380,0.7590483508202912
46,1996.4540956364353,410,0.7552531090661897
47,2410.889687932238,575,0.7514768435208588
48,1667.9596921893021,415,0.7477194593032545
49,2214.744800037897,574,0.7439808620067382
50,2443.82922928249,737,0.7402609576967045
51,1370.5012683803218,259,0.736559652908221
52,1825.2895010470745,420,0.7328768546436799
